Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,19,64733,0106849,Los Angeles,Los Angeles Unified,Animo Pat Brown,Unified School District,High Schools (Public),Traditional,N/A,Yes,0649,Directly funded,Y,9,12,615,562,0.913821138,597,0.970731707,603,552,0.915422886,585,0.970149254,Y
2017-2018,19,64733,0106997,Los Angeles,Los Angeles Unified,Orthopaedic Hospital,Unified School District,Alternative Schools of Choice,Alternative School of Choice,CEP,No ,N/A,N/A,N,9,12,832,742,0.891826923,786,0.944711538,828,739,0.892512077,782,0.944444444,Y
2017-2018,19,64733,0107003,Los Angeles,Los Angeles Unified,Northridge Academy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1080,656,0.607407407,785,0.726851852,1057,645,0.610217597,770,0.728476821,Y
2017-2018,19,64733,0107755,Los Angeles,Los Angeles Unified,Port of Los Angeles High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0542,Directly funded,Y,9,12,980,484,0.493877551,583,0.594897959,959,477,0.497393118,573,0.597497393,Y
2017-2018,19,64733,0108878,Los Angeles,Los Angeles Unified,CHAMPS - Charter HS of Arts-Multimedia & Performing,Unified School District,High Schools (Public),Traditional,N/A,Yes,0712,Directly funded,Y,9,12,750,300,0.4,375,0.5,725,289,0.39862069,362,0.499310345,Y
2017-2018,19,64733,0108894,Los Angeles,Los Angeles Unified,Alliance Judy Ivie Burton Technology Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0714,Directly funded,Y,9,12,610,553,0.906557377,588,0.963934426,604,547,0.905629139,582,0.963576159,Y
2017-2018,19,64733,0108936,Los Angeles,Los Angeles Unified,Alliance Collins Family College-Ready High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0718,Directly funded,Y,9,12,595,506,0.850420168,558,0.937815126,584,497,0.851027397,548,0.938356164,Y
2017-2018,19,64733,0109447,Los Angeles,Los Angeles Unified,Santee Education Complex,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,1857,1721,0.926763597,1773,0.954765751,1773,1652,0.931754089,1703,0.960518895,Y
2017-2018,19,64733,0109454,Los Angeles,Los Angeles Unified,South East High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2070,1750,0.845410628,1942,0.938164251,2032,1719,0.845964567,1906,0.937992126,Y
2017-2018,19,64733,0109462,Los Angeles,Los Angeles Unified,Maywood Academy High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1263,1081,0.855898654,1187,0.939825812,1216,1038,0.853618421,1140,0.9375,Y
2017-2018,19,64733,0109512,Los Angeles,Los Angeles Unified,Cal Burke High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,177,161,0.90960452,167,0.943502825,129,118,0.914728682,123,0.953488372,Y
2017-2018,19,64733,0110668,Los Angeles,Los Angeles Unified,Frida Kahlo High,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,150,143,0.953333333,145,0.966666667,108,105,0.972222222,106,0.981481481,Y
2017-2018,19,64733,0111484,Los Angeles,Los Angeles Unified,New Village Girls Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0791,Directly funded,Y,9,12,84,80,0.952380952,82,0.976190476,69,66,0.956521739,68,0.985507246,Y
2017-2018,19,64733,0111492,Los Angeles,Los Angeles Unified,Alliance Patti And Peter Neuwirth Leadership Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0789,Directly funded,Y,9,12,584,540,0.924657534,561,0.960616438,566,523,0.924028269,543,0.959363958,Y
2017-2018,19,64733,0111500,Los Angeles,Los Angeles Unified,Alliance Dr. Olga Mohan High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0790,Directly funded,Y,9,12,441,389,0.882086168,413,0.936507937,433,381,0.879907621,405,0.935334873,Y
2017-2018,19,64733,0111575,Los Angeles,Los Angeles Unified,Animo Ralph Bunche Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0781,Directly funded,Y,9,12,618,586,0.948220065,607,0.982200647,597,566,0.948073702,586,0.981574539,Y
2017-2018,19,64733,0111583,Los Angeles,Los Angeles Unified,Animo Jackie Robinson High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0793,Directly funded,Y,9,12,608,554,0.911184211,597,0.981907895,599,545,0.90984975,588,0.98163606,Y
2017-2018,19,64733,0111625,Los Angeles,Los Angeles Unified,Animo Watts College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0783,Directly funded,Y,9,12,579,515,0.889464594,548,0.946459413,567,504,0.888888889,537,0.947089947,Y
2017-2018,19,64733,0111658,Los Angeles,Los Angeles Unified,Alliance Marc & Eva Stern Math and Science,Unified School District,High Schools (Public),Traditional,N/A,Yes,0788,Directly funded,Y,9,12,581,435,0.748709122,498,0.857142857,571,428,0.749562172,491,0.859894921,Y
2017-2018,19,64733,0112029,Los Angeles,Los Angeles Unified,School of Business and Tourism at Contreras Learning Complex,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,449,418,0.930957684,432,0.962138085,416,388,0.932692308,401,0.963942308,Y
2017-2018,19,64733,0112037,Los Angeles,Los Angeles Unified,East Valley Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,542,468,0.863468635,496,0.915129151,510,441,0.864705882,469,0.919607843,Y
2017-2018,19,64733,0112045,Los Angeles,Los Angeles Unified,Arleta High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1418,1144,0.806770099,1266,0.89280677,1370,1104,0.805839416,1225,0.894160584,Y
2017-2018,19,64733,0112052,Los Angeles,Los Angeles Unified,Panorama High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1182,1065,0.901015228,1119,0.946700508,1102,997,0.904718693,1046,0.949183303,Y
2017-2018,19,64733,0112508,Los Angeles,Los Angeles Unified,Bright Star Secondary Charter Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0826,Directly funded,Y,9,12,532,425,0.79887218,479,0.90037594,503,402,0.799204771,453,0.900596421,Y
2017-2018,19,64733,0112870,Los Angeles,Los Angeles Unified,Contreras Learning Center-Los Angeles School of Global Studies,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,347,310,0.893371758,322,0.92795389,317,288,0.90851735,298,0.940063091,Y
2017-2018,19,64733,0114850,Los Angeles,Los Angeles Unified,West Adams Preparatory High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,1491,1390,0.932260228,1431,0.959758551,1363,1277,0.936903888,1314,0.96404989,Y
2017-2018,19,64733,0115253,Los Angeles,Los Angeles Unified,Discovery Charter Preparatory School #2,Unified School District,High Schools (Public),Traditional,N/A,Yes,0949,Directly funded,Y,9,12,230,169,0.734782609,183,0.795652174,214,157,0.73364486,171,0.799065421,Y
2017-2018,19,64733,0116509,Los Angeles,Los Angeles Unified,Alliance Morgan McKinzie High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0928,Directly funded,Y,9,12,393,344,0.875318066,363,0.923664122,383,335,0.874673629,353,0.921671018,Y
2017-2018,19,64733,0116954,Los Angeles,Los Angeles Unified,Jack London Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,52,46,0.884615385,47,0.903846154,45,39,0.866666667,40,0.888888889,Y
2017-2018,19,64733,0117051,Los Angeles,Los Angeles Unified,Edward R. Roybal Learning Center,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1021,918,0.899118511,983,0.962781587,905,810,0.895027624,869,0.960220994,Y
2017-2018,19,64733,0117069,Los Angeles,Los Angeles Unified,Helen Bernstein High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,602,478,0.794019934,500,0.830564784,539,432,0.80148423,453,0.840445269,Y
2017-2018,19,64733,0117598,Los Angeles,Los Angeles Unified,Alliance Piera Barbaglia Shaheen Health Services Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0927,Directly funded,Y,9,12,448,381,0.850446429,412,0.919642857,438,372,0.849315068,402,0.917808219,Y
2017-2018,19,64733,0117606,Los Angeles,Los Angeles Unified,Alliance Leichtman-Levine Family Foundation Environmental Science High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0929,Directly funded,Y,9,12,490,367,0.748979592,413,0.842857143,473,354,0.748414376,396,0.837209302,Y
2017-2018,19,64733,0117721,Los Angeles,Los Angeles Unified,Contreras Learning Center-Academic Leadership Community,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,451,416,0.922394678,433,0.960088692,423,393,0.929078014,409,0.966903073,Y
2017-2018,19,64733,0117747,Los Angeles,Los Angeles Unified,Los Angeles High School of the Arts,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,430,376,0.874418605,398,0.925581395,410,357,0.870731707,379,0.924390244,Y
2017-2018,19,64733,0117762,Los Angeles,Los Angeles Unified,School for the Visual Arts and Humanities,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,421,377,0.895486936,398,0.945368171,395,355,0.898734177,376,0.951898734,Y
2017-2018,19,64733,0117911,Los Angeles,Los Angeles Unified,New Millennium Secondary,Unified School District,High Schools (Public),Traditional,N/A,Yes,1020,Directly funded,Y,9,12,167,76,0.45508982,79,0.473053892,160,73,0.45625,76,0.475,Y
2017-2018,19,64733,0118588,Los Angeles,Los Angeles Unified,Alain Leroy Locke College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1050,Directly funded,Y,9,12,1532,1420,0.92689295,1467,0.957571802,1391,1298,0.933141625,1338,0.961897915,Y
2017-2018,19,64733,0119651,Los Angeles,Los Angeles Unified,Sun Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,422,344,0.815165877,377,0.893364929,392,324,0.826530612,356,0.908163265,Y
2017-2018,19,64733,0119727,Los Angeles,Los Angeles Unified,Ramon C. Cortines School of Visual and Performing Arts,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1280,827,0.64609375,952,0.74375,1247,803,0.643945469,927,0.743384122,Y
2017-2018,19,64733,0119966,Los Angeles,Los Angeles Unified,Felicitas and Gonzalo Mendez High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1088,968,0.889705882,1027,0.943933824,1069,950,0.88868101,1009,0.943872778,Y
2017-2018,19,64733,0120360,Los Angeles,Los Angeles Unified,Daniel Pearl Journalism & Communications Magnet,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,355,198,0.557746479,233,0.656338028,350,195,0.557142857,229,0.654285714,Y
2017-2018,19,64733,0121285,Los Angeles,Los Angeles Unified,Alliance Cindy and Bill Simon Technology Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1161,Directly funded,Y,9,12,514,454,0.883268482,488,0.949416342,501,442,0.882235529,476,0.9500998,Y
2017-2018,19,64733,0121293,Los Angeles,Los Angeles Unified,Alliance Tennenbaum Family Technology High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1162,Directly funded,Y,9,12,319,250,0.78369906,282,0.884012539,311,244,0.784565916,275,0.884244373,Y
2017-2018,19,64733,0122333,Los Angeles,Los Angeles Unified,"Math, Science, & Technology Magnet Academy at Roosevelt High",Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,534,460,0.861423221,499,0.934456929,531,458,0.86252354,496,0.934086629,Y
2017-2018,19,64733,0122341,Los Angeles,Los Angeles Unified,Esteban Torres East LA Performing Arts Magnet,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,409,355,0.86797066,384,0.938875306,398,346,0.869346734,375,0.942211055,Y
2017-2018,19,64733,0122358,Los Angeles,Los Angeles Unified,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,415,371,0.893975904,394,0.94939759,399,358,0.897243108,380,0.952380952,Y
2017-2018,19,64733,0122366,Los Angeles,Los Angeles Unified,Social Justice Leadership Academy at Esteban E. Torres High No. 5,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,346,299,0.86416185,324,0.936416185,329,286,0.869300912,308,0.936170213,Y
2017-2018,19,64733,0122374,Los Angeles,Los Angeles Unified,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,392,352,0.897959184,367,0.93622449,383,344,0.898172324,359,0.937336815,Y
2017-2018,19,64733,0122382,Los Angeles,Los Angeles Unified,Engineering and Technology Academy at Esteban E. Torres High No. 3,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,397,353,0.889168766,377,0.949622166,373,332,0.890080429,356,0.954423592,Y
2017-2018,19,64733,0122606,Los Angeles,Los Angeles Unified,PUC Lakeview Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1241,Directly funded,Y,9,12,462,323,0.699134199,356,0.770562771,451,317,0.702882483,350,0.776053215,Y
2017-2018,19,64733,0123133,Los Angeles,Los Angeles Unified,Alliance Susan and Eric Smidt Technology High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1163,Directly funded,Y,9,12,540,474,0.877777778,507,0.938888889,522,458,0.877394636,490,0.938697318,Y
2017-2018,19,64733,0123141,Los Angeles,Los Angeles Unified,Alliance Ted K. Tajima High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1164,Directly funded,Y,9,12,335,287,0.856716418,295,0.880597015,321,278,0.866043614,285,0.887850467,Y
2017-2018,19,64733,0124362,Los Angeles,Los Angeles Unified,Valley Academy of Arts and Sciences,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1151,598,0.519548219,742,0.64465682,1134,589,0.519400353,731,0.644620811,Y
2017-2018,19,64733,0124370,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academy - Arts/Theatre/Entertain Mag,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,472,306,0.648305085,354,0.75,456,294,0.644736842,342,0.75,Y
2017-2018,19,64733,0124388,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,534,427,0.799625468,479,0.897003745,522,416,0.796934866,468,0.896551724,Y
2017-2018,19,64733,0124396,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Academy of Scientific Exploration (ASE),Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,458,347,0.757641921,381,0.831877729,441,333,0.755102041,367,0.832199546,Y
2017-2018,19,64733,0124404,Los Angeles,Los Angeles Unified,Cesar E. Chavez Learning Academies-Technology Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,383,306,0.798955614,330,0.861618799,371,298,0.803234501,320,0.862533693,Y
2017-2018,19,64733,0124412,Los Angeles,Los Angeles Unified,Los Angeles River at Sonia Sotomayor Learning Academies,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,241,218,0.904564315,228,0.946058091,224,203,0.90625,212,0.946428571,Y
2017-2018,19,64733,0124420,Los Angeles,Los Angeles Unified,School of History and Dramatic Arts at Sonia Sotomayor Learning Academies,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,283,235,0.830388693,256,0.90459364,268,222,0.828358209,242,0.902985075,Y
2017-2018,19,64733,0124479,Los Angeles,Los Angeles Unified,Dr. Maya Angelou Community High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,1035,948,0.915942029,970,0.937198068,973,894,0.918807811,916,0.941418294,Y
2017-2018,19,64733,0124487,Los Angeles,Los Angeles Unified,Public Service Community at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,553,509,0.920433996,527,0.952983725,531,490,0.922787194,507,0.95480226,Y
2017-2018,19,64733,0124495,Los Angeles,Los Angeles Unified,Communication and Technology at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,537,484,0.901303538,501,0.932960894,511,463,0.906066536,479,0.937377691,Y
2017-2018,19,64733,0124503,Los Angeles,Los Angeles Unified,Diego Rivera Learning Complex Green Design STEAM Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,505,471,0.932673267,494,0.978217822,490,456,0.930612245,479,0.97755102,Y
2017-2018,19,64733,0124511,Los Angeles,Los Angeles Unified,Performing Arts Community at Diego Rivera Learning Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,511,482,0.943248532,497,0.97260274,489,462,0.944785276,476,0.973415133,Y
2017-2018,19,64733,0124560,Los Angeles,Los Angeles Unified,Synergy Quantum Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1299,Directly funded,Y,9,12,567,528,0.931216931,552,0.973544974,542,504,0.929889299,528,0.974169742,Y
2017-2018,19,64733,0124883,Los Angeles,Los Angeles Unified,Animo College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,1342,Directly funded,Y,9,12,521,486,0.932821497,507,0.973128599,503,468,0.930417495,489,0.972166998,Y
2017-2018,19,64733,0124891,Los Angeles,Los Angeles Unified,Alliance Renee and Meyer Luskin Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1343,Directly funded,Y,9,12,542,479,0.883763838,513,0.946494465,529,469,0.88657845,502,0.948960302,Y
2017-2018,19,64733,0124933,Los Angeles,Los Angeles Unified,PUC Early College Academy for Leaders and Scholars (ECALS),Unified School District,High Schools (Public),Traditional,N/A,Yes,1354,Directly funded,Y,9,12,368,247,0.671195652,250,0.679347826,360,242,0.672222222,245,0.680555556,Y
2017-2018,19,64733,0124941,Los Angeles,Los Angeles Unified,Alliance Margaret M. Bloomfield Technology Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1356,Directly funded,Y,9,12,487,421,0.864476386,455,0.934291581,476,410,0.861344538,444,0.932773109,Y
2017-2018,19,64733,0125864,Los Angeles,Los Angeles Unified,Ednovate - USC Hybrid High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1401,Directly funded,Y,9,12,518,367,0.708494208,442,0.853281853,510,360,0.705882353,434,0.850980392,Y
2017-2018,19,64733,0125989,Los Angeles,Los Angeles Unified,STEM Academy at Bernstein High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,565,502,0.888495575,558,0.987610619,550,489,0.889090909,543,0.987272727,Y
2017-2018,19,64733,0126136,Los Angeles,Los Angeles Unified,Math and Science College Preparatory,Unified School District,High Schools (Public),Traditional,N/A,Yes,1412,Directly funded,Y,9,12,541,463,0.855822551,505,0.933456562,528,451,0.854166667,493,0.933712121,Y
2017-2018,19,64733,0126474,Los Angeles,Los Angeles Unified,"Hilda L. Solis Learning Academy School of Technology, Business and Education",Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,266,241,0.906015038,253,0.95112782,259,234,0.903474903,246,0.94980695,Y
2017-2018,19,64733,0126482,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High A Critical Design and Gaming,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,531,445,0.838041431,462,0.870056497,502,424,0.844621514,441,0.878486056,Y
2017-2018,19,64733,0126490,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High B Community Health Advocates,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,447,399,0.89261745,414,0.926174497,406,365,0.899014778,378,0.931034483,Y
2017-2018,19,64733,0126508,Los Angeles,Los Angeles Unified,Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,377,329,0.872679045,340,0.901856764,347,306,0.88184438,315,0.90778098,Y
2017-2018,19,64733,0126516,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High A Huntington Park Institute of Applied Medicine,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,752,657,0.873670213,691,0.918882979,736,641,0.870923913,675,0.917119565,Y
2017-2018,19,64733,0126524,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High B LIBRA Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,685,590,0.861313869,650,0.948905109,677,583,0.861152142,642,0.948301329,Y
2017-2018,19,64733,0126532,Los Angeles,Los Angeles Unified,Linda Esperanza Marquez High C School of Social Justice,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,655,574,0.876335878,620,0.946564885,643,564,0.877138414,609,0.947122862,Y
2017-2018,19,64733,0126540,Los Angeles,Los Angeles Unified,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,585,446,0.762393162,530,0.905982906,570,432,0.757894737,515,0.903508772,Y
2017-2018,19,64733,0126557,Los Angeles,Los Angeles Unified,Visual and Performing Arts at Legacy High School Complex,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,475,347,0.730526316,387,0.814736842,459,337,0.734204793,376,0.819172113,Y
2017-2018,19,64733,0126573,Los Angeles,Los Angeles Unified,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,707,654,0.925035361,663,0.937765205,679,630,0.927835052,639,0.941089838,Y
2017-2018,19,64733,0126615,Los Angeles,Los Angeles Unified,Academies of Education and Empowerment at Carson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,561,338,0.602495544,414,0.737967914,535,318,0.594392523,393,0.734579439,Y
2017-2018,19,64733,0126623,Los Angeles,Los Angeles Unified,Academy of Medical Arts at Carson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,506,271,0.535573123,326,0.644268775,488,261,0.534836066,316,0.647540984,Y
2017-2018,19,64733,0127217,Los Angeles,Los Angeles Unified,Alliance Alice M. Baxter College-Ready High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1460,Directly funded,Y,9,12,342,234,0.684210526,263,0.769005848,336,232,0.69047619,258,0.767857143,Y
2017-2018,19,64733,0127787,Los Angeles,Los Angeles Unified,Humanities and Arts (HARTS) Academy of Los Angeles,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,489,368,0.752556237,418,0.854805726,464,351,0.756465517,396,0.853448276,Y
2017-2018,19,64733,0127795,Los Angeles,Los Angeles Unified,Contreras Learning Center-School of Social Justice,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,454,418,0.920704846,435,0.95814978,426,395,0.927230047,409,0.960093897,Y
2017-2018,19,64733,0127803,Los Angeles,Los Angeles Unified,Early College Academy-LA Trade Tech College,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,187,168,0.898395722,176,0.941176471,125,113,0.904,119,0.952,Y
2017-2018,19,64733,0127852,Los Angeles,Los Angeles Unified,Executive Preparatory Academy of Finance,Unified School District,High Schools (Public),Traditional,N/A,Yes,1525,Directly funded,Y,9,12,203,135,0.665024631,151,0.743842365,192,129,0.671875,144,0.75,Y
2017-2018,19,64733,0127878,Los Angeles,Los Angeles Unified,Pathways Community,Unified School District,High Schools (Public),Traditional,N/A,Yes,1537,Directly funded,Y,9,12,359,335,0.933147632,352,0.980501393,345,322,0.933333333,338,0.979710145,Y
2017-2018,19,64733,0127894,Los Angeles,Los Angeles Unified,Valor Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1539,Directly funded,Y,9,12,473,370,0.782241015,432,0.913319239,458,359,0.783842795,418,0.912663755,Y
2017-2018,19,64733,0127910,Los Angeles,Los Angeles Unified,Camino Nuevo High #2,Unified School District,High Schools (Public),Traditional,N/A,Yes,1540,Directly funded,Y,9,12,462,427,0.924242424,445,0.963203463,448,413,0.921875,431,0.962053571,Y
2017-2018,19,64733,0129536,Los Angeles,Los Angeles Unified,Boyle Heights STEM High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,228,181,0.793859649,209,0.916666667,223,177,0.793721973,205,0.919282511,Y
2017-2018,19,64733,0129585,Los Angeles,Los Angeles Unified,NAVA College Preparatory Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,774,720,0.930232558,750,0.968992248,754,701,0.929708223,731,0.969496021,Y
2017-2018,19,64733,0129627,Los Angeles,Los Angeles Unified,TEACH Tech Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1658,Directly funded,Y,9,12,282,254,0.90070922,263,0.932624113,274,247,0.901459854,255,0.930656934,Y
2017-2018,19,64733,0130997,Los Angeles,Los Angeles Unified,Sylmar Biotech Health Academy,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,250,240,0.96,245,0.98,244,234,0.959016393,239,0.979508197,Y
2017-2018,19,64733,0131821,Los Angeles,Los Angeles Unified,Collegiate Charter High of Los Angeles,Unified School District,High Schools (Public),Traditional,N/A,Yes,1722,Directly funded,Y,9,12,136,108,0.794117647,118,0.867647059,136,108,0.794117647,118,0.867647059,Y
2017-2018,19,64733,0132027,Los Angeles,Los Angeles Unified,University Preparatory Value High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1723,Directly funded,Y,9,12,341,288,0.84457478,311,0.91202346,335,285,0.850746269,307,0.91641791,Y
2017-2018,19,64733,0132126,Los Angeles,Los Angeles Unified,Bert Corona Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1724,Directly funded,Y,9,12,203,150,0.738916256,164,0.807881773,201,150,0.746268657,163,0.810945274,Y
2017-2018,19,64733,0132282,Los Angeles,Los Angeles Unified,Ednovate - USC East College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1702,Directly funded,Y,9,12,284,211,0.742957746,247,0.86971831,284,211,0.742957746,247,0.86971831,Y
2017-2018,19,64733,0133868,Los Angeles,Los Angeles Unified,Rise Kohyang High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1786,Directly funded,Y,9,12,172,114,0.662790698,149,0.86627907,172,114,0.662790698,149,0.86627907,Y
2017-2018,19,64733,0135632,Los Angeles,Los Angeles Unified,WISH Academy High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1863,Directly funded,Y,9,12,74,21,0.283783784,32,0.432432432,74,21,0.283783784,32,0.432432432,Y
2017-2018,19,64733,0135715,Los Angeles,Los Angeles Unified,Ednovate - USC Esperanza College Prep,Unified School District,High Schools (Public),Traditional,N/A,Yes,1842,Directly funded,Y,9,12,72,59,0.819444444,67,0.930555556,72,59,0.819444444,67,0.930555556,Y
